flaeche,saniert,energieeffizienz,miete
53.3,0,B,613.72
94.9,0,B,1031.3
80.7,0,A,976.99
44.9,0,A,500.02
63.4,0,C,614.1
108.0,1,A,1692.21
30.0,1,B,409.39
66.4,0,C,631.14
100.3,0,A,1141.68
57.7,0,C,483.63
61.4,1,C,836.08
73.1,1,A+,991.89
104.8,0,B,1221.53
62.2,0,B,675.12
66.1,1,A,1015.34
66.3,0,A+,837.77
119.1,1,A,1408.08
118.7,0,A+,1292.18
95.1,1,A,1381.81
82.7,1,C,931.81
89.7,1,C,944.91
104.8,0,A+,1190.81
56.3,0,A,751.86
98.5,0,C,890.18
49.9,0,B,412.42
62.2,0,B,580.26
93.1,0,A+,992.59
46.4,0,B,338.68
72.2,1,C,714.57
57.8,0,A,597.06
69.9,0,A+,803.16
30.0,1,B,341.75
39.6,1,C,309.46
61.0,0,A,807.36
93.5,1,B,1039.68
71.5,1,B,936.13
75.1,0,A,743.21
88.8,1,B,1182.01
57.4,0,B,684.49
80.7,0,B,780.31
58.9,1,A,614.34
40.4,0,C,404.94
67.2,1,B,1043.76
86.5,1,C,1079.28
81.8,1,A+,1147.32
74.8,0,A,929.14
122.8,0,B,1450.67
83.3,1,A+,1066.2
94.6,0,C,918.98
119.8,0,A,1448.27
49.1,0,A,525.02
54.2,1,A,882.35
109.9,0,A,1198.06
59.0,1,A,883.53
75.6,1,A,1041.39
96.4,0,B,1043.99
92.8,1,A,1331.36
110.1,0,A,1339.18
104.9,1,A+,1308.46
96.4,1,A,1320.68
59.5,1,B,902.05
90.9,0,A,1027.72
81.3,0,B,850.56
48.5,0,A,464.73
103.3,0,B,1138.79
91.1,0,A+,1162.36
75.9,0,C,679.15
70.3,0,A+,709.42
51.0,0,A,524.83
79.0,1,B,859.91
84.4,0,A+,1064.75
58.4,1,B,707.85
98.2,0,C,853.39
53.1,0,C,451.81
32.5,1,B,421.19
95.8,0,C,1044.45
66.9,0,B,688.66
72.5,1,C,1056.63
58.2,0,A,597.13
42.9,1,C,508.33
100.1,0,A,1140.97
61.2,1,C,706.41
108.2,0,C,1162.87
91.1,1,C,1147.88
68.7,0,A,908.47
53.3,0,B,382.46
60.4,0,A+,673.17
50.7,0,B,464.22
116.7,1,A+,1644.69
78.3,1,A+,1053.8
98.0,1,A,1086.53
49.7,0,C,454.61
78.6,0,A,890.08
98.6,1,B,1250.66
68.3,1,B,765.58
95.6,0,A,1269.37
53.3,1,B,657.32
47.7,0,B,453.94
82.6,0,A,851.06
67.4,1,B,765.9
