flaeche,saniert,miete,teuer
84.9,0,1020.51,1
72.2,0,1012.17,1
88.0,0,1028.98,1
105.5,0,1537.54,1
70.3,1,1056.37,1
70.3,0,758.09,0
106.6,0,1171.92,1
90.3,1,1282.43,1
65.6,0,764.98,0
85.9,1,1251.61,1
65.7,1,986.1,0
65.7,0,780.94,0
79.8,0,873.39,0
36.7,0,289.33,0
40.5,0,441.37,0
63.8,0,850.69,0
54.7,1,828.33,0
81.3,0,850.85,0
56.8,0,699.39,0
46.8,0,599.58,0
104.3,1,1313.37,1
70.5,0,861.19,0
76.4,0,922.03,0
46.5,0,443.76,0
64.1,1,955.13,0
77.2,0,982.7,0
52.0,1,882.07,0
82.5,1,1245.55,1
63.0,0,618.08,0
69.2,1,886.21,0
63.0,0,807.09,0
112.0,1,1545.93,1
74.7,1,1098.27,1
53.8,0,1031.42,1
91.5,0,1154.5,1
50.6,1,870.55,0
79.2,0,1045.53,1
35.8,0,494.82,0
48.4,0,549.71,0
78.9,0,1023.14,1
89.8,1,1149.95,1
78.4,0,917.45,0
72.7,0,823.71,0
69.0,0,835.92,0
45.4,1,926.62,0
60.6,0,540.51,0
65.8,1,1008.07,1
96.1,0,992.44,0
81.9,1,1085.28,1
39.7,0,585.77,0
81.5,0,984.21,0
67.3,0,699.81,0
61.5,1,816.01,0
87.2,1,1264.76,1
95.6,0,1074.4,1
93.6,1,1295.15,1
58.2,1,853.14,0
68.8,0,760.63,0
81.6,0,1193.9,1
94.5,0,1197.52,1
65.4,0,582.48,0
71.3,1,1024.09,1
52.9,1,718.3,0
51.1,1,848.15,0
91.3,0,1015.75,1
102.1,0,1214.02,1
73.6,1,1083.22,1
95.1,1,1377.42,1
82.2,1,1016.76,1
62.1,1,861.72,0
82.2,1,1089.24,1
105.8,0,1203.8,1
74.3,0,1067.95,1
106.3,1,1466.01,1
30.0,1,383.91,0
91.4,0,1189.04,1
76.7,0,1133.11,1
69.0,1,1081.48,1
76.8,0,770.09,0
35.2,0,374.56,0
70.6,0,973.97,0
82.1,1,1064.94,1
104.6,1,1449.08,1
64.6,0,853.08,0
58.8,1,763.27,0
65.0,0,773.63,0
93.3,0,795.57,0
81.6,1,1026.46,1
64.4,1,897.6,0
85.3,1,1048.41,1
76.9,1,1236.54,1
94.4,0,989.46,0
61.0,0,687.5,0
68.4,0,834.44,0
67.2,0,950.02,0
45.7,0,405.17,0
80.9,1,1237.39,1
80.2,0,963.68,0
75.1,1,953.08,0
70.3,1,1039.91,1
